index,Question,Options,Correct Answer,Level
47,What is not type of inheritance?,"[Single inheritance, Double inheritance, Hierarchical inheritance, Multiple inheritance]",Double inheritance,Medium
48,All classes in Java are inherited from which class?,"[java.lang.class, java.class.inherited, java.class.object, java.lang.Object]",java.lang.Object,Medium
49,Which of the following is used for implementing inheritance through an interface?,"[inherited, using, extends, implements]",implements,Medium
50,Which of this method can be used to make the main thread to be executed last among all the threads?,"[stop(), sleep(), join(), call()]",sleep(),Medium
51,Which of this method is used to find out that a thread is still running or not?,"[run(), Alive(), isAlive(), checkRun()]",isAlive(),Medium
52,What is the default value of priority variable MIN_PRIORITY AND MAX_PRIORITY?,"[0 & 256, 0 & 1, 1 & 10, 1 & 256]",1 & 10,Hard
53,Which of these method waits for the thread to terminate?,"[sleep(), isAlive(), join(), stop()]",join(),Medium
54,Which of these method is used to explicitly set the priority of a thread?,"[set(), make(), setPriority(), makePriority()]",setPriority(),Hard
55,Which of these method is used to begin the execution of a thread?,"[run(), start(), runThread(), startThread()]",start(),Medium
56,Which of these method is used to implement Runnable interface?,"[stop(), run(), runThread(), stopThread()]",run(),Medium
57,Which of these method of Thread class is used to find out the priority given to a thread?,"[get(), ThreadPriority(), getPriority(), getThreadPriority()]",getPriority(),Hard
58,Which of these method of Thread class is used to Suspend a thread for a period of time?,"[sleep(), terminate(), suspend(), stop()]",sleep(),Hard
59,The process in which two or more parts of same process run simultaneously is called?,"[multithreaded programming, mulitiprogramming, multitasking, none of the above]",multithreaded programming,Hard
60,Which of these are types of multitasking?,"[Process based, Thread based, Process and Thread based, None of the mentioned]",Process and Thread based,Hard
61,Thread priority in Java is?,"[Integer, Float, double, long]",Integer,Medium
62,What will happen if two thread of the same priority are called to be processed simultaneously?,"[Anyone will be executed first lexographically, Both of them will be executed simultaneously, None of them will be executed, It is dependent on the operating system]",It is dependent on the operating system,Hard
63,What requires less resources?,"[Thread, Process, Thread and Process, Neither Thread nor Process]",Thread,Hard
64,What does not prevent JVM from terminating?,"[Process, Daemon Thread, User Thread, JVM Thread]",Daemon Thread,Hard
65,What decides thread priority?,"[Process, Process scheduler, Thread, Thread scheduler]",Thread scheduler,Hard
66,What should not be done to avoid deadlock?,"[Avoid using multiple threads, Avoid hold several locks at once, Execute foreign code while holding a lock, Use interruptible locks]",Execute foreign code while holding a lock,Hard
67,Which of the following is a correct constructor for thread?,"[Thread(Runnable a, String str), Thread(int priority), Thread(Runnable a, int priority), Thread(Runnable a, ThreadGroup t)]","Thread(Runnable a, String str)",Hard
68,Which of the following stops execution of a thread?,"[Calling SetPriority() method on a Thread object, Calling notify() method on an object, Calling wait() method on an object, Calling read() method on an InputStream object]",Calling notify() method on an object,Hard
69,Which of the following will ensure the thread will be in running state?,"[yield(), notify(), wait(), Thread.killThread()]",wait(),Medium
70,Which of these keywords are used to implement synchronization?,"[synchronize, syn, synch, synchronized]",synchronized,Hard
71,Which of this method is used to avoid polling in Java?,"[wait(), notify(), notifyAll(), all of the mentioned]",all of the mentioned,Medium
72,Which of these method is used to tell the calling thread to give up a monitor and go to sleep until some other thread enters the same monitor?,"[wait(), notify(), notifyAll(), sleep()]",wait(),Medium
73,Which of these method wakes up the first thread that called wait()?,"[wake(), notify(), start(), notifyAll()]",notify(),Medium
74,Which of these method wakes up all the threads?,"[wakeAll(), notify(), start(), notifyAll()]",notifyAll(),Medium
75,Which of these functions is called to display the output of an applet?,"[display(), paint(), displayApplet(), PrintApplet()]",paint(),Hard
76,Which of these methods can be used to output a string in an applet?,"[display(), print(), drawString(), transient()]",drawString(),Hard
77,Which of these methods is a part of Abstract Window Toolkit (AWT) ?,"[display(), paint(), drawString(), transient()]",paint(),Hard
78,Which of these modifiers can be used for a variable so that it can be accessed from any thread or parts of a program?,"[transient, volatile, global, No modifier is needed]",volatile,Hard
79,Which of these operators can be used to get run time information about an object?,"[getInfo, Info, instanceof, getinfoof]",instanceof,Hard
80,When does Exceptions in Java arises in code sequence?,"[Run Time, Compilation Time, Can Occur Any Time, None of the mentioned]",Run Time,Medium
81,Which of these keywords is not a part of exception handling?,"[try, finally, thrown, catch]",thrown,
82,Which of these keywords must be used to monitor for exceptions?,"[try, finally, thrown, catch]",try,Medium
83,Which of these keywords must be used to handle the exception thrown by try block in some rational manner?,"[try, finally, thrown, catch]",catch,Medium
84,Which of these keywords is used to manually throw an exception?,"[try, finally, throw, catch]",throw,Hard
85,Which of the following classes can catch all exceptions which cannot be caught?,"[RuntimeException, Error, Exception, ParentException]",Error,Hard
86,Which of the following is a super class of all exception type classes?,"[Catchable, RuntimeExceptions, String, Throwable]",Throwable,Hard
87,Which of the following operators is used to generate instance of an exception which can be thrown using throw?,"[thrown, alloc, malloc, new]",new,Medium
88,Which of the following handles the exception when a catch is not used?,"[finally, throw handler, default handler, java run time system]",default handler,Hard
89,Which part of code gets executed whether exception is caught or not?,"[finally, try, catch, throw]",finally,Medium
90,Which of the following should be true of the object thrown by a thrown statement?,"[Should be assignable to String type, Should be assignable to Exception type, Should be assignable to Throwable type, Should be assignable to Error type]",Should be assignable to Throwable type,Hard
91,Which of these classes is used to define exceptions?,"[Exception, Throwable, Abstract, System]",Exception,Hard
92,Which of these methods return description of an exception?,"[getException(), getMessage(), obtainDescription(), obtainException()]",getMessage(),Hard
93,Which of these methods is used to print stack trace?,"[obtainStackTrace(), printStackTrace(), getStackTrace(), displayStackTrace()]",printStackTrace(),Hard
94,Which of these methods return localized description of an exception?,"[getLocalizedMessage(), getMessage(), obtainLocalizedMessage(), printLocalizedMessage()]",getLocalizedMessage(),Hard
95,Which of these packages contains all the classes and methods required for even handling in Java?,"[java.applet, java.awt, java.event, java.awt.event]",java.awt.event,Hard
96,Which of these methods are used to register a keyboard event listener?,"[KeyListener(), addKistener(), addKeyListener(), eventKeyboardListener()]",addKeyListener(),Hard
97,Which of these methods can be used to determine the type of event?,"[getID(), getSource(), getEvent(), getEventObject()]",getID(),Hard
98,Which of these events will be notified if scroll bar is manipulated?,"[ActionEvent, ComponentEvent, AdjustmentEvent, WindowEvent]",AdjustmentEvent,Hard
99,Which of these events will be generated if we close an applet’s window?,"[ActionEvent, ComponentEvent, AdjustmentEvent, WindowEvent]",WindowEvent,Hard
100,Which of these events is generated when computer gains or loses input focus?,"[ComponentEvent, ContainerEvent, FocusEvent, InputEvent]",FocusEvent,Hard
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
